# character, uuid
MR. HARRINGTON, 21a001fa-c949-55a3-9995-6e414c8f8c8e
MRS. DAVIS, cf263432-5d51-586c-af2e-54a214e87980
MRS. SPENCER, d0c27f1b-0b91-588f-a836-af4ebe83c46b
MS. WARREN, 33317f1e-1312-55cd-82d6-fdaef481ff97
MUFFLED VOICE, a1337fd9-b9b7-548f-8750-1211ebbc1eed
MUSEUM DIRECTOR, 2ae7cf20-be11-5eea-98f0-9c0a33afb811
N'JADAKA (KILLMONGER), a4f45b24-539f-5523-ade0-1ead797ee372
N'JOBU, 1b4d82fc-8f20-53a9-a094-6e8e6aa3c4d5
NAKIA, c58b8fa0-6d09-5a94-b445-a87895c91486
NARRATOR, c94bb3b2-9f9e-583b-8ed8-1a15ceed0a6a
NASA SCIENTIST, 6f5945f5-edf3-5a0b-8f40-d3358268c56a
NATASHA ROMANOFF, a63edbe6-0772-5369-addf-260df61caa93
NAVID, 3c81d1da-d2bd-50b5-be9a-65e94b8b4097
NEBULA, f88b7e21-3c79-5ea3-83b0-04ee2e14f234
NED LEEDS, 23dbc085-77bb-5071-bd66-968cca02cbe1
NEWS ANCHOR, 9e063d00-2848-58db-b6fe-6aa25059f49b
NEWS ANCHOR #1, bb158242-7b9b-5915-bec4-195217208615
NEWS ANCHOR #2, 69fcbf5c-865d-50bf-a6d3-9322c04dd735
NEWS ANCHOR #3, 7c375563-ce40-5d75-a80e-6bfbc2d4cf34
NEWS ANCHOR #4, 80af22c6-e2a6-5d26-ad46-148aea0d25ba
NEWS ANCHOR #5, 2f9938ab-ec65-5d72-adad-9b30c34de975
NEWS READER, 6207faf8-c805-548b-8a83-0128347609b1
NEWS REPORTER, a455af81-3206-5ed4-9e25-6cda53c57335
NEWS REPORTER #1, 7d6d93bb-f354-5d29-be07-d9e7d35b4ecc
NEWS REPORTER #2, e839ef6c-d037-51aa-8a73-2cd4b76ee867
NEWS REPORTER #3, df17451a-d207-5a8a-b2a1-6f26a851040b
NEWS REPORTER #4, ad879461-a403-56b0-8ee8-79e2f8235f90
NICK FURY, 0d5d2dd0-e740-51a8-a7c4-a1abf62a765c
NIGERIAN MILITANT #2, d22f866e-762d-5a2d-b23e-23badf937201
NIGERIAN WOMAN, 23db6be1-7cf3-5f21-b6a4-02638e2fd6ea
NOVAR, 576e66fe-4634-5ae7-ae2a-4d060777d963
NURSE, 92dafc43-e335-5c1b-95c3-c7081824bea5
OAKLAND KID #1, d586427f-e819-5cd6-ac25-7c2f6e1d2690
OAKLAND KID #2, 1112ca59-6b93-5671-ad3c-345a9e278cad
OAKLAND KID #3, 8f64b75a-4c5a-5f32-a776-0b8870f4e62a
OBADIAH STANE, 6b1b87a2-0cfc-5d5e-92be-06007bb03cee
OBLO, 662e2a6b-ac5d-5ce3-bba5-3c43bb91fe50
ODIN, 99b670c3-59df-52a9-bdc0-04049539dc52
OFF SCREEN WORKER, 29ca3d0a-4011-5204-b5b1-023259dce5db
OFFICER, dc2e58f2-b250-57dd-b5de-df57e1bf3572
OFFICER #2, 43732aa3-0946-5e29-a66c-10bc4931162c
OFFICER FITZGIBBON, 6ca3bbeb-cb15-547c-bfa2-04e2e21f8a95
OKOYE, 7d654b1b-aafe-53fa-8a02-4a38357c046e
OLD FOOTAGE RECORDING, 986db8f1-873a-57cf-abaa-2897d246d85f
OLD MAN, b8505acd-8496-5ae5-a3c3-181de65a6387
OLDER MAN, e862de50-80df-59ee-aeee-40b3c4cd1299
ORDERLY, 799e9657-9bc6-5539-b691-9658f7a950bc
PA, c887e96a-b56e-53f8-864a-fdded751d8a0
PARK RANGER, 2bc3e11b-71ae-5aa1-9262-d4df6d6f5dd4
PARTY GUEST, b048f4d3-68f6-5705-80a0-e16ca9e7514e
PATIENT, 95467596-5cf3-5d5f-89f0-c0e6c8652164
PEACHY, 19fd9a03-ee7d-5b19-88f1-47a4bce11af7
PEGGY CARTER, d5f7a64b-6e8e-5b1a-8248-0c1d3c25c080
PEOPLE, e8c5acf1-686a-5c32-9397-2a018ea7f91f
PEPPER POTTS, dde379fb-a41d-5eaf-9553-eca6fa869cae
PEPPER'S ASSISTANT, 87449eee-5f92-5066-b9fb-2851fbf9a9a2
PERSON, 83c80f03-194a-5295-bdc0-eb17e43bcfbd
PET STORE CLERK, 596b731a-e9f4-56dc-8206-c41baa942e6b
PETER PARKER, a6ae1d91-1c5f-55a7-a832-6762f37075d5
PETER QUILL, b2a9f573-927d-583b-ac25-92c7f706b323
PHIL COULSON, d6d7cef7-f38e-58e2-8163-4f876a5abc8c
PHINEAS MASON, e60c77bd-95a7-50c6-93cf-7d553b88c0a2
PIETRO MAXIMOFF, e502b0c9-9431-5b5a-b134-57ef318b1564
PILOT, b2895b33-6e60-58c6-83e4-bd6e313a17da
POLICE, f29c50af-b0c6-5dd1-8ad9-8e2a53fec536
POLICE OFFICER, da963f20-21a1-5266-8ff2-30638f1288fc
POLICE OFFICER #1, be4e1340-004e-5dd2-80cf-4fa9f0ca1df3
POLICE OFFICER #2, de5518ba-5e9d-5e53-925c-6b59ec3480af
POLICE RADIO, 54092dbd-f41f-570e-94f0-39cee581eaf8
POLICE SERGEANT, 4bb8a273-ce54-595a-ac9d-6c5a1248aef5
POOL BBQ DAD, bc6e83c2-4b7e-5f86-aa73-fe68fc342631
PRATT, 0746d7c7-04bf-5ceb-8091-b2fb04e95eef
PRESIDENT ELLIS, 32a3d1fd-1fec-5828-ad12-a291732b093a
PRETTY MUCH EVERYONE IN THE CROWD, ff844007-4289-5e96-a19f-3a75d58abe81
PRIEST, 6fdcd4a0-778f-5098-9ee6-cafd39be8853
PRINCIPAL MORITA, 6a820b0d-cdd8-5c31-bf2e-b0909d490400
PROPRIETOR, 8b8ea25d-ecfe-5d4e-82e1-eb257d27398a
PROXIMA MIDNIGHT, e4c9d968-78cc-532e-b07b-1a0ed9f530a9
PUSHY TABLOID REPORTER, 09084b38-8102-5394-8564-946489f4d8e3
PVT. LORRAINE, 382651eb-3f26-5cce-8e4d-42dfa5885686
PYM TECH EMPLOYEE, 130e9c10-0210-5969-98d1-1072a0722e67
PYM TECH GATE GUARD, 066e0a2e-077d-56a5-80e1-d3d0f7e0f844
PYM TECH SECURITY GUARD, 6720c465-a043-5704-b39e-fc130097f87e
QUINJET, dc4c8bee-949b-589e-afd7-08a629ed8fb6
QUINJET PILOT, e87e5462-1ba2-502b-9ca5-bb4b22ca4379
RAMIREZ, 64fc49a3-65a5-5971-923d-4be0e7a25884
RAMONDA, 82260508-3b71-5060-a726-f209a00fcaa6
RANDOM WOMAN, 54f05759-d4ec-5894-ba09-9b3c33e91da2
RANDY, 2b0a9a26-0062-5545-9a00-4490bfcf0b5d
RAZA, 4dc93532-8eb6-56b8-b1cb-38658471263e
RED SKULL, 19bee19f-647e-552a-9f94-9ca2b5ad49b9
RENATA, 0151042b-0698-5d21-80b2-2f188b582d1a
REPORTER, 5356e0bf-a248-5d48-84dd-9e7e623c21fc
REPORTER # 1, 0ca008cf-3dc0-558b-b4d7-ad2dbaf3565c
REPORTER #2, 02d27d38-1240-5de0-aacc-7f09ccfe067c
REPORTER #3, 2213ab8b-4301-57f3-8a15-46a3991a9c12
RESIDENT 1, cbdeb32d-0703-5a1e-8ca1-90489f21a7b9
RESIDENT 2, 8106d2ee-1a04-57e3-abd3-f5252361fbc7
RETCH, dfbf97a6-38e4-5e34-9c2c-d0cd99d1a879
RICHARD, ca27110b-b6a8-57a0-a5f5-62a6f529a726
RIVER TRIBE ELDER, 2ea9c28b-a92b-56b4-b3de-b6b62eb1d770
ROBBER 1, aadb6493-7f43-59d5-bc21-79a4799244b1
ROBBER 2, ef0e2c7e-f8b7-5e38-a800-6ab0a5f673dd
ROBBER 3, 26be3c18-c782-590e-b605-6065b4b15fb4
ROBBER 4, 6fc973c5-a00f-5d54-b444-96dcfa0ee594
ROCKET, 5ca16e13-ae66-532f-b110-94e506170e73
ROEDER, 4e916daf-2fd2-5b8d-af55-bca4023c6e34
RONAN, 8c0377d0-700c-5f91-80f6-1fab7ba61191
RONIN, bdedbb5d-7644-551b-b843-c9ab96dc0128
ROSE HILL CHRISTMAS TREE SHOPPER, f4a33997-a8eb-5411-a975-925885b659b4
ROSE HILLS SHERIFF, 7810fdeb-1042-5ecb-a947-4596ad79a57a
SALLY AVRIL, 7e7b5722-d046-5948-a36f-a85aada0622d
SAM WILSON, 686855b8-bab2-5895-85c4-820dedbcfef7
SCANNER, 89b91a19-a97e-5c79-b713-0c3fc2aeba99
SCHNEIDER, 68b2fee2-ad25-5f40-ab5f-5c79984197cd
SCIENTIST, 09bb79ed-83ce-5272-b084-137c8eca7265
SCIENTIST #1, 006f3259-19fc-5fea-9fc8-fa42af348f45
SCOTT LANG, 3fd09ec9-6c48-538d-9ade-9d41805949af
SCRAPPER, d0c94717-3087-5bf9-8871-3f31a03bd75f
SCUDDER, 61c8099a-1fb3-598f-9a54-73141ef74249
SCURRILOUS RAVAGER, 0212decc-4fa8-5376-b23f-8ae8ca70c973
SEARCH TEAM LEADER, 3098c2bd-81df-5d5e-9f80-fe03f8f1097f
SECOND GUARD, f8b28d27-e7cf-5864-89ee-be661c6fe309
SECRETARY ROSS, 73f1afe8-8fb7-5445-b5e4-53699f0ce001
SECURITY, bbe7cfa7-05ad-546b-bc80-343c8197b1c1
SECURITY CHECKPOINT, cbeed2ba-dd4e-5f3c-b832-8df36d32de14
SECURITY CHIEF, bac7b078-6648-5a06-9c98-8370f6eb139e
SECURITY GUARD, f0558e50-9f5b-5346-92f5-81c125edfba4
SECURITY OFFICER, 6595807d-a623-5a33-be1d-b175f27848cc
SENATOR BRANDT, 9623a975-7b9b-56d8-b49b-7f5186365a2b
SENATOR STERN, 131b15b6-5d83-56fb-beeb-eb003ee858f0
SERGEANT DUFFY, 1505a963-e276-572d-8912-ffae2b5b748f
SHAMAN, d548411d-c30c-5b05-925c-9f87db1e85d0
SHARON CARTER, 6c8cdb46-71af-5b4a-a98e-34d87d02266c
SHIELD AGENT, d521d9f4-9277-5426-95c3-273b73905481
SHIELD AGENT #1, bc06a0c8-2821-5d6a-aa42-636d983af333
SHIELD AGENT #2, 8b2b39f7-8a33-58e8-b0bd-a22632994944
SHIELD AGENT #3, d224ff52-5b5f-5094-850a-8e17aa1f9da8
SHIELD COMPUTER, ab18153f-8494-5449-81c6-7e835e3de015
SHIELD ENGINEER, 334b8857-743d-55ab-8e61-84dcb84d0632
SHIELD LIEUTENANT, abb03d9e-cfd3-58f3-a642-e3cc9781d8b4
SHIELD PILOT, 92aa4db8-1cf1-58be-8439-461850a88132
SHIELD TECH, d0c1ddfa-2c8e-5a13-9d85-b95a4d4c4fc4
SHIELD WORKER, ac944ba0-23e8-5e20-9002-622c61b0c193
SHURI, 69d71a47-ee76-503a-bd73-a4201a125008
SIF, 5f00a444-dfdb-5ba9-9637-044f3f40171f
SKRULL, 1cc668d3-257c-566d-a7d5-404269f16298
SKRULL SCIENTIST, 932c149c-cda9-5ed2-91a1-19ce360d3b58
SKRULL TECH, b27f3a2e-50f4-51ef-94be-1f87349b6ba3
SKURGE, 971cd50e-f917-5957-9b9d-953f0230d63e
SMITHSONIAN GUARD, 023d6c9b-e50d-5fcc-9556-f1f1a501cdfa
SOH-LARR, d08af5bf-1960-5f59-9680-efad6ffcfdc5
SOLDIER, 147c517d-225a-5af3-ba56-03a907e6198a
SOLDIERS, c3b39816-b83b-53c1-9252-b6a1ff771e5c
SOMEONE IN BACKGROUND, e791d57d-5140-5091-90b2-0ce857af5620
SON, 0ff3d6c9-9ab9-5b46-9876-aa9657bbf860
SOOTHING VOICE, e80825f8-cff1-5b88-afb7-c78ea8d50eea
SOREN, 9b5a6de1-5e44-5b41-aaca-635250ef827c
SOUTH AFRICAN TOUGH, 81f3aaae-2928-5d3c-b830-02b205803d81
SOVEREIGN PILOT, d332c129-6372-59ae-bf18-c7031022fe99
SPANISH TEACHER, 538b460a-2a6f-5bd8-91c9-8b32204e2bfa
SPECIALIST CAMERON KLEIN, 7428af21-3bdc-53c0-95b5-22f54827230d
SSR DOCTOR, 8def5ed6-ef7d-5336-8484-23ee1b0b6de8
STAKAR, 5061f51b-f64f-5dc0-814c-1afe342ed250
STAN LEE, 8ca82a71-b7f2-5826-8ad8-9652286c2286
STARK'S ASSISTANT, 9b17275b-8f85-55d2-95e3-186c23d60727
STARK’S ENGINEER, d34a9af8-6739-5332-8189-b3d1a6108ec6
STEPHEN STRANGE, f635e233-2272-54fe-95b3-8e7e62add149
STEVE ROGERS, 3d5e7ec0-7f4b-551a-ac52-985213c81910
STONEHENGE TV NEWS REPORTER, e3d7b03e-944c-5103-8da1-778eb5dbe9dc
STRAWBERRY MAN, 496eb8b6-c850-5bad-8830-f02b85eb0e63
STREET VENDOR, 2532dd63-0a46-5a8c-b15d-256edaa251fa
STRIKE AGENT, 0f66a999-71eb-5be6-8d0b-17f7eec499e9
STRIKE AGENT #1, 46377ba9-22e1-59f3-86fc-fb49e8efa844
STRIKE AGENT #2, 63d5a98d-589d-5b2a-90e5-e7e6ebf12734
STRIKE AGENT #3, a60baf13-15f3-5a21-8f81-f6f22ea56096
STUDENT, 79dc0355-4090-5cc6-8f40-e7a009e04011
STUDENTS, 4d55da8b-b412-5d96-a620-d93324eb13c0
SUPREME INTELLIGENCE, 3caed42f-9e23-595a-9fb7-426981322f66
SURTUR, 2ad8285e-c846-5ab1-94a1-9d6d74e1fbd8
T'CHAKA, f4053553-191c-523a-b719-a7e9a5ed98c7
T'CHALLA, bdfb1f04-dfed-56b5-aae0-7f57dc14daee
TALL RAVAGER, 6deb66bd-c7a4-57e9-a193-bb0a1af549e1
TALOS, 42469d0b-7b01-58ac-a3c0-5dbd65da9430
TASERFACE, b88f8c8c-36d3-51f7-b8ed-c2d717cd5c76
TAXI DRIVER, f37887c0-4029-5f54-8002-9e4404dcef61
TECH, fa8e6962-e0a4-5d45-9801-5040f38dbde1
TECHIE, 44f892be-47a2-5440-a70f-182df10bb63e
TECHNICIAN, dfb272f7-fa45-5cbf-8d7f-3242774a9444
TENT KIDS, 0ab21455-16ff-5a05-8cec-0bcce8592c11
TEXT MESSAGE, 441ebb67-dcbb-5823-a174-d70e9117e425
THAI WAITER, ec5c910f-f2ad-5a31-84d9-2e4c6c103ec5
THANOS, 35c5305c-715f-56a0-aa1d-81c6944f9b73
THE COLLECTOR, fe009c4c-81e7-5c53-9e82-3dc47fdf18dc
THE MANDARIN, 9fa3b4be-15d4-5000-8403-406663885d3a
THE OTHER, d8c2a818-ffd2-52e3-8bcd-aa737b852d02
THE SENATOR, 8813629b-639c-5037-80ca-30d4e5d3bac5
THE SMITHSONIAN NARRATOR, c0ff0180-7d5a-5fad-bfc9-3312e6092499
THOMAS RICHARDS, 8a91d5da-b5ce-5b91-85c0-41ec7a009d9c
THOR, 03abc033-e90f-5671-a2ee-9b2b0a632b74
TOM, e022bfa2-804d-5537-a875-c704dc46ee9d
TONY STARK, 5a7167c7-35ec-539a-ae5c-dc335e6fda95
TOPAZ, 3c1db066-dbe1-5a55-ac53-4c36455e0380
TOUR GUIDE, bb42bd1a-7c8e-5b23-9566-90402d9900a1
TOURIST, 3997839f-2c1c-5772-890c-8bfebf23598a
TOWER KEEPER, ebe12472-0e54-597b-87d4-24b3abb41433
TOWNIE, 81f2b24d-af5e-521a-8ef0-442532cf8451
TOWNIE PETE, e9e55c1d-7c9c-5aa6-869f-d76f085a7761
TREVOR SLATTERY, 35b14226-77a5-5a2d-96a1-5c7e98eed8c9
TULLK, b6d1d7e3-07a4-5424-ab9f-ad04493c333a
TV REPORTER’S VOICE, 5f2bc0c7-cd5e-5927-95ca-425d1bce4620
TYCOON, 0b6f21ef-6dba-5ba1-8c55-6efcc0adaa38
ULTRON, 9c57c7b0-3b53-5a18-929a-8e631b5a37cd
ULYSSES KLAUE, 8dd3881a-f34a-5473-a85b-022f1265c7b2
UN STAFFER, 0978fa14-cdb2-510d-92d1-6a201d217cad
USO GIRL, 5fa34ef8-687d-52e8-8230-97deea17d57b
USO SINGER, 4044c846-fce8-59bb-ac96-d8df56943bcc
VALKYRIE, be78a528-1189-5b89-86cc-487a47eff814
VANESSA, dba55b68-ac7d-534d-9a33-d61e0a0c9669
VASILY KARPOV, 89272bfd-42ac-5025-a7d7-a6f9e5c64cbb
VERS' BROTHER, 20e07db0-e4bc-5e89-87c9-376dca125c6a
VICE PRESIDENT, 2e62535c-19a0-5e29-ac4e-2a6733515469
VIDEO VOICE OVER, 1cd1474c-b393-5bf7-95f9-01c36e564109
VIPER 1, 9ac88e2a-c241-5ab8-872b-431184ae394c
VIPER 2, 24b68333-e3a7-54e8-bad8-57db157c0dc4
VISION, 86dd4e67-450d-5017-8290-ce132568bf61
VOICE FROM EARPIECE, 7c8767bc-15b3-532c-9be0-8e7c57fd27e0
VOICEMAIL, 3a36a342-db9f-5ef7-86f5-1c804ab0cc2a
VOLSTAGG, b237ef8e-478d-50ce-a8c8-fa35c9d867f0
W'KABI, b92da15f-95df-548e-9fca-ee2b648b48cf
WAITRESS, 04b13637-dc4b-5d27-b3ed-6e823485e6dc
WAKANDAN CHILD, f53dd404-0e3b-510d-a417-7d8bd9082d58
WAKANDAN CHILDREN, ae10e92d-3d00-5ea8-9ecb-98abd7344f36
WANDA MAXIMOFF, f721730e-f32e-57b3-9801-a2d2d5f4dd08
WARDEN, dc37a771-4d28-569c-b8c4-a1a0d1d917ac
WEASELLY THUG, ecc62a03-fbeb-5217-be8b-ef56748b3f4e
WEIRD OLD MAN, 1db8af28-b720-5a90-9d82-f78b5fd1952e
WENDY LAWSON, 66d6dc57-930f-5833-a924-8138116c0880
WIFE, 168ae0a4-646a-5a7b-9563-a997d90803a4
WOMAN, d9b33c21-5315-592b-af4c-c48ddb3ea531
WOMAN IN CROWD, ebde2c61-c8ab-5d14-9cfa-1b9f011401bd
WOMAN ON PA, 816f6011-07f6-5bc4-9c02-fa2cfd6e1e54
WOMAN ON TRAIN, 8c509320-1788-54ba-a8da-66fa05e407d1
WONG, fb3df3c9-8883-5b0d-a11c-6393e55cb25a
WORKER, 75265386-06e7-5ca2-bf15-125ca47892d8
WORLD HUB TECH, 574375f6-6f6a-5558-a665-e16a8d9a8283
YINSEN, 704fd0c6-65d3-53de-a1b8-31d15ca4f383
YON-ROGG, e00ca65e-a656-5ddc-9482-3601c7a2312d
YONDU, 0ed79496-a31d-5125-9f14-fffaec3d7f55
YOUNG BLACK KID, 04604515-b504-55f7-a564-b25875cc6a4a
YOUNG BOY, 9bdc4810-8211-50e0-8b71-3498a38e2eea
YOUNG COP, bb398a16-fc9c-51bc-8186-f2140fc8a97f
YOUNG DOCTOR, aa41114c-efc0-5101-ac8b-03f9e954366a
YOUNG GAMORA, 1540fefe-268f-5361-b13a-23a46696b585
YOUNG GIRL, 8602b80d-e9fb-5761-b408-f2f96d73e8e9
YOUNG KILLMONGER, 4ff23d44-7b8c-5460-9e63-4c7f13452909
YOUNG SHIELD PILOT, 620ccf44-213a-5002-89df-469b067d27d9
YOUNG T' CHAKA, 8cd8803b-dc21-5fb2-8a41-b9ecb9dccd44
YOUNG T'CHAKA, 23f305cf-71b0-551b-b236-5b9c72ab0e9f
YOUNG TONY STARK, d80b9b48-16ba-59d2-a266-8b588cb77651
YOUNG ZURI, a3d9d45e-dc4e-529b-a4f3-cedc2cabef84
ZEMO'S WIFE, 1f4ce560-07d2-5a20-a7e8-e1bb0e132b82
ZRINKA, faf988f6-8de4-5aa5-98e3-d81e017c09d3
ZURI, 6076c955-c8a8-5ebe-a413-9efb6f9a7925
