# character, uuid
CASSIE LANG, ee9c03ac-4251-5042-ac85-986db9228a17
CHAD DAVIS, 7e0147b3-5b05-566c-82ff-fa6b7e64edeb
CHAMBERMAID, 7b906afa-d4d9-5d5d-86f9-596c7b47410e
CHARLES MURPHY, 84a458fc-d566-51b0-8555-8a09e714126c
CHARLIE WEAPONS TECH, d9344f9d-9fe8-5b7e-b1f2-20284ae9575d
CHARLIE XO, 0f94d57d-189f-5310-9cec-483ef2e1d0ba
CHARLIE-27, 1409aa92-92e4-571a-9494-fbb7e60e117a
CHEERLEADER, cd356b81-99df-524c-b619-54671aefd5d0
CHRISTINE EVERHART, 4565c579-6998-5d3c-b8ff-bc16ff95a0e1
CIA AGENT, eb13e397-6075-58bf-bb4a-09db9192278b
CINDY MOON, 5811db29-da50-5368-a8ec-a4c4bc87bf63
CLINT BARTON, 375d6fa4-c5bf-5f0d-9c9f-9535bb76764e
COACH WILSON, ff125ef6-fb9d-526c-bda0-c1f44fce8e75
COL. CHESTER PHILLIPS, ecf28254-7f02-51f1-af24-ee1c0fe8dce0
COLLECTOR, e9e731b5-c0cf-500c-ab99-d6760bc89c57
COLLEGE GIRL 1, 31a2eaf4-c1d5-547b-bcb2-65e2770f9d1e
COLLEGE GIRL 2, 8892b882-9432-57a3-a12e-8ba1e5555376
COM TECH #1, 0f55b61f-e2f2-500d-828e-74a823078201
COM TECH #2, f5b96ee5-4fa1-5330-ba8b-2a29048f848f
COMMERCIAL ANNOUNCER, d9e23020-8441-5ac4-8a48-ad894315b7d1
COMMITTEE GENERAL, 4933d1fe-2b35-5a77-8590-6ada2a3d5aad
COMPUTER, d31a4b04-d2b4-54b6-8a61-ff1ab9173cbe
COMPUTER VOICE, 4436656d-11cb-55e0-bfe6-86ce9d87c1d4
CONNIE, 94165930-36cf-5d69-8b4a-50f983cc9c5b
CONTROL, bc92d9d0-7824-51b2-886a-a351e88ec4d1
COP ON SPEAKER, ea69d1bb-ebe2-5ecf-948e-1f1e887ffef0
CORPORAL, bdc3f21c-7135-50f9-8ab5-df43114795d3
CORVUS GLAIVE, 7f64ba4d-9023-56bc-9bbe-6ba5ce310c65
COUNCILMAN, 0bb6e501-2277-5452-9929-d01fbf206bcd
COUNCILMAN 2, 44c7ca02-856b-5445-8676-f59bc333e71d
COUNCILMAN HAWLEY, 909d9561-c874-57af-b3bd-5a0c728ac02d
COUNCILMAN ROCKWELL, 7df4b1ca-9a52-5cce-a286-31c2e6de50c7
COUNCILMAN SINGH, 6ef481d8-231c-53d5-8379-53886d861131
COUNCILMAN YEN, 5801e4a5-b24f-5117-ba05-b76414596c03
COUNCILWOMAN, c1bbdd2e-b2aa-5c33-bfd1-87a6d799eab4
COUNCILWOMAN HAWLEY, a5f8b2bd-29fa-591d-94dd-1c463d6d7ef6
COUSIN CARLO, 93b92e95-68cc-577a-b8d0-a28f4047ef9c
